"List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"1-411302361              B.L.D.E.A'S POLYTECHNIC, BIJAPUR - 03                                      Karnataka       BIJAPUR            BIJAPUR"
"1-6508273                ST.JOSEPH'S INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY, PALAI   Kerala          KOTTAYAM           PALAI"
"1-2018184                MATHA COLLEGE OF TECHNOLOGY                                                Kerala          ERNAKULAM          PARAVUR"
"1-5012101                AL SHIFA COLLEGE OF PHARMACY                                               Kerala          MALAPPURAM         PERINTALMANNA"
"1-461022893              ANJUMAN POLYTECHNIC                                                        Karnataka       DHARWAD            HUBLI"
"1-465512581              P.V.P POLYTECHNIC                                                          Karnataka       BANGALORE URBAN    BANGALORE"
"1-6648336                BLDEA'S A.S. PATIL COLLEGE OF COMMERCE, MBA COURSE, BIJAPUR                Karnataka       BIJAPUR            BIJAPUR"
"1-802455021              S.E.T POLYTECHNIC                                                          Karnataka       MANDYA             MELKOTE"
"1-497842991              MADIN POLYTECHNIC COLLEGE                                                  Kerala          MALAPPURAM         MALAPPURAM"
"1-14327361               THE OXFORD COLLEGE OF ENGINEERING -( MCA)                                  Karnataka       BANGALORE URBAN    BANGALORE"
"1-475226051              EKNAYANAR MEMORIAL MODEL POLYTECHNIC COLLEGE,KALLYASSERY                   Kerala          KANNUR             KANNUR"
"1-1691341                RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY                                Kerala          ERNAKULAM          KOCHI"
"1-6648541                SIDDAGANGA INSTITUTE OF TECHNOLOGY                                         Karnataka       TUMKUR             TUMKUR"
"1-457458521              GHOUSIA POLYTECHNIC FOR WOMEN                                              Karnataka       BANGALORE URBAN    BANGALORE"
"1-467957621              SANJAY MEMORIAL POLYTECHNIC                                                Karnataka       SHIMOGA            SAGARA"
"1-3933345                VIDYA VIKAS INSTITUTE OF ENGINEERING & TECHNOLOGY                          Karnataka       MYSORE             MYSORE"
"1-1541844151             GOVT. POLYTECHNIC, VAISHALI                                                Bihar           VAISHALI           HAJIPUR"
"1-475129943              GOVERNMENT POLYTECHNIC SHAHJAHANPUR                                        Uttar Pradesh   SHAHJAHANPUR       SHAHJAHANPUR"
"1-483176941              DR. RAM MANOHAR LOHIA AVADH UNIVERSITY, FAIZABAD                           Uttar Pradesh   FAIZABAD           FAIZABAD"
"1-479191791              MORADABAD POLYTECHNIC INSTITUTE                                            Uttar Pradesh   MORADABAD          RUSTAM SARAI"
"1-4475265                ROORKEE INSTITUTE OF TECHNOLOGY                                            Uttarakhand     HARIDWAR           ROORKEE"
"1-2216569401             DELHI TECHNICAL CAMPUS                                                     Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-28751344               HYGIA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,LUCKNOW           Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-450196631              KASHI NATH INSTITUTE OF TECHNOLOGY                                         Uttar Pradesh   GHAZIPUR           SANAND NAGAR"
"1-514226023              LATE GENRAL BIPIN CHANDRA JOSHI GOVERNMENT RURAL POLYTECHNIC TAKULA        Uttarakhand     ALMORA             TAKULA"
"1-10805621               SAROJ INSTITUTE OF TECHNOLOGY & MANAGEMENT                                 Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-4747061                SCHOOL OF MANAGEMENT SCIENCES                                              Uttar Pradesh   VARANASI           VARANASI"
"1-4863336                GANESHI LAL BAJAJ INSTITUTE OF TECHNOLOGY AND MANAGEMENT                   Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-2891634                COLLEGE OF ENGG. & RURAL TECHNOLOGY ,MEERUT                                Uttar Pradesh   MEERUT             MEERUT"
"1-514424411              DR. BHEEM RAO AMBEDKAR POLYTECHNIC COLLEGE                                 Uttar Pradesh   GHAZIPUR           GHAZIPUR"
"1-2187005501             VIVEKANAND COLLEGE OF ARCHITECTURE                                         Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-6845583                SIWAN ENGINEERING & TECHNICAL INSTITUTE SIWAN                              Bihar           SIWAN              SIWAN"
"1-465665481              GOVT. GIRLS POLYTECHNIC BAREILLY                                           Uttar Pradesh   BAREILLY           C.B. GANJ"
"1-480895001              HARDAYAL TECHNICAL CAMPUS                                                  Uttar Pradesh   MATHURA            MATHURA"
"1-2055162081             SKY INSTITUTE OF MANAGEMENT AND TECHNOLOGY                                 Uttar Pradesh   MATHURA            LADAMDA"
"1-2084731621             APS COLLEGE OF EDUCATION                                                   Uttar Pradesh   MEERUT             JULHEDA"
"                                            List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                              STATE            DISTRICT           CITY"
"1-8718336                JAHANGIRABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS                        Uttar Pradesh    BARABANKI          BARABANKI"
"1-15868911               VIVEKANAND INSTITUTE OF TECHNOLOGY & SCIENCE                                Uttar Pradesh    GHAZIABAD          GHAZIABAD"
"1-513542071              M.S.D.POLYTECHNIC COLLEGE                                                   Uttar Pradesh    AZAMGARH           BALPUR"
"1-17914261               MASCOT INSTITUTE OF MANAGEMENT                                              Uttar Pradesh    BAREILLY           BAREILLY"
"1-5986051                LUCKNOW MODEL INSTITUTE OF MANAGEMENT                                       Uttar Pradesh    LUCKNOW            LUCKNOW"
"1-18988481               GLOBAL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH                   Uttarakhand      UDHAM SINGH NAGAR KASHIPUR"
"1-14498491               LTR INSTITUTE OF TECHNOLOGY                                                 Uttar Pradesh    MEERUT             MEERUT"
"1-22401801               ADVANCE INSTITUTE OF BIOTECH & PARAMEDICAL SCIENCES                         Uttar Pradesh    KANPUR NAGAR       KANPUR"
"1-2893381                GYAN BHARTI INSTITUTE OF TECHNOLOGY                                         Uttar Pradesh    MEERUT             MEERUT"
"1-7703211                ACCURATE INSTITUTE OF MANAGEMENT & TECHNOLOGY                               Uttar Pradesh    GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-5094741                NORTHERN INSTITUTE FOR INTEGRATED LEARNING IN MANAGEMENT (NIILM)            Uttar Pradesh    GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-8336081                ABHINAVA INSTITUTE OF MANAGEMENT AND TECHNOLOGY                             Uttar Pradesh    KANPUR NAGAR       KANPUR"
"1-7162981                A.N.A COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES                         Uttar Pradesh    BAREILLY           BAREILLY"
"1-6264633                SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT                                  Uttar Pradesh    BARABANKI          BARABANKI"
"1-19813991               COLLEGE OF MANAGEMENT STUDIES                                               Uttar Pradesh    KANPUR NAGAR       KANPUR"
"1-488005631              JAN KALYAN INSTITUTE OF TECHNICAL EDUCATION                                 Uttar Pradesh    LUCKNOW            LUCKNOW"
"1-1582903401             MOTI BABU INSTITUTE OF TECHNOLOGY                                           Bihar            ARARIA             FORBESGANJ"
"1-2097309271             EDIFY INSTITUTE OF PROFFESSIONAL STUDIES                                    Uttar Pradesh    MATHURA            FARAH"
"1-2068620641             M.G. POLYTECHNIC                                                            Uttar Pradesh    ALLAHABAD          HABIBPUR"
"1-2067689481             VV INSTITUTE OF MANAGEMENT & TECHNOLOGY                                     Uttar Pradesh    SAHARANPUR         SAHARANPUR"
"1-474763251              SAHYADRI POLYTECHNIC                                                        Karnataka        SHIMOGA            THIRTHAHALLI"
"1-466036321              JYOTI NIVAS COLLEGE (MBA)                                                   Karnataka        BANGALORE URBAN     BANGALORE"
"1-13347267               KALPATARU INSTITUTE OF TECHNOLOGY                                           Karnataka        TUMKUR             TIPTUR"
"1-10378961               DEPARTMENT OF PHARMACEUTICAL SCIENCES, REGIONAL INSTITUTE OF MEDICAL SCIENCES"
"Kerala"
"AND RESEARCH   KOTTAYAM           KOTTAYAM"
"1-422761541              DEPARTMENT OF MANAGEMENT, GULBARGA UNIVERSITY, GULBARGA                     Karnataka        GULBARGA           GULBARGA"
"1-4839781                ST. JOSEPH'S COLLEGE OF ENGINEERING & TECHNOLOGY, PALAI                     Kerala           KOTTAYAM           PALAI"
"1-36961681               M S RAMAIAH INSTITUTE OF MANAGEMENT                                         Karnataka        BANGALORE URBAN    BANGALORE"
"1-402924711              IMPACT POLYTECHNIC                                                          Karnataka        BANGALORE URBAN    BANGALORE"
"1-466015261              GOVERNMENT POLYTECHNIC GULBARGA                                             Karnataka        GULBARGA           GULBARGA"
"1-1497235264             DEV BHOOMI INSTITUTE OF POLYTECHNIC                                         Uttarakhand      DEHRADUN           MANDUWALA"
"1-5453871                KARAVALI COLLEGE OF HOTEL MANAGEMENT                                        Karnataka        DAKSHINA KANNADA   NEERUMARGA, MANGALORE"
"1-504597251              MAHMOOD SHARIEF POLYTECHNIC                                                 Karnataka        BANGALORE URBAN    BANGALORE"
"1-492954991              BHAVAN'S PRIYAMVADA BIRLA INSTITUTE OF MANAGEMENT                           Karnataka        MYSORE             MYSORE"
"1-2181241                M.M.U.COLLEGE OF PHARMACY                                                   Karnataka        RAMANAGARA         RAMANAGARAM"
"1-497457901              GOVERNMENT POLYTECHNIC RAMPUR                                               Uttar Pradesh    RAMPUR             RAMPUR"
"1-5716861                ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT                               Uttar Pradesh    VARANASI           VARANASI"
"1-479242731              GOVERNMENT POLYTECHNIC MORADABAD                                            Uttar Pradesh    MORADABAD          MORADABAD"
"1-466597743              SHIVAJI INSTITUTE OF TECHNOLOGY AND MANAGEMENT                              Uttar Pradesh    ALLAHABAD          ALLAHABAD"
"1-12360011               HARLAL INSTITUTE OF MANAGEMENT & TECHNOLOGY (HIMT)                          Uttar Pradesh    GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-480562801              GOVT. POLYTECHNIC BASTI                                                     Uttar Pradesh    BASTI              BASTI"
"1-2102599541             EXALT COLLEGE OF POLYTECHNIC                                                Bihar            VAISHALI           MAHUA"
"1-479808442              SIR CHHOTU RAM INSTITUTE OF ENGINEERING & TECHNOLOGY CCS UNIVERSITY MEERUT Uttar Pradesh     MEERUT             MEERUT"
"1-4883231                COER SCHOOL OF MANAGEMENT                                                   Uttarakhand      HARIDWAR           ROORKEE"
"1-513929261              MAHATMA JYOTIBA PHULE GOVERNMENT POLYTECHNIC KAUSHAMBI                      Uttar Pradesh    KAUSHAMBI          KAUSHAMBI"
"1-12595454               BHALCHANDRA INSTITUTE OF EDUCATION & MANAGEMENT                             Uttar Pradesh    LUCKNOW            CHANDOIYA"
"                                           List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                        STATE           DISTRICT           CITY"
"1-9275577                ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY                         Uttar Pradesh   ALIGARH            ALIGARH"
"1-10281414               PRAKASHDEEP INSTITUTE OF MANAGEMENT & TECHNOLOGY                      Uttar Pradesh   GHAZIABAD          JINDAL NAGAR"
"1-772251391              NOBLE INSTITUTE OF MANAGEMENT & TECHNOLOGY                            Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-7786147                NARAINA VIDYA PEETH MANAGEMENT INSTITUTE                              Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-478892761              GOVERNMENT POLYTECHNIC, FARRUKHABAD                                   Uttar Pradesh   FARRUKHABAD        FATEHGARH"
"1-22172981               DOON COLLEGE OF ENGINEERING AND TECHNOLOGY, SUNDERPUR, SAHARANPUR     Uttar Pradesh   SAHARANPUR         SAHARANPUR"
"1-4048961                RAJIV ACADEMY FOR TECHNOLOGY & MANAGEMENT                             Uttar Pradesh   MATHURA            MATHURA"
"1-5889751                JAIPURIA ISNTITUTE OF MANAGEMENT, LUCKNOW                             Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-492706231              GOVT. POLYTECHNIC, GULZARBAGH                                         Bihar           PATNA              PATNA"
"1-6588351                MEERUT INSTITUTE OF TECHNOLOGY                                        Uttar Pradesh   MEERUT             MEERUT"
"1-35052964               L.N.MISHRA COLLEGE OF BUSINESS MANAGEMENT                             Bihar           MUZAFFARPUR        MUZAFFARPUR"
"1-6697511                SWAMI DARSHNANANDA INSTITUTE OF MANAGEMENT AND TECHNOLOGY             Uttarakhand     HARIDWAR           HARIDWAR"
"1-803649271              SANSKRITI SCHOOL OF POLYTECHNIC                                       Uttar Pradesh   MATHURA            CHATTA"
"1-6248896                SHRIRAM INSTITUTE OF MANAGEMENT & TECHNOLOGY PG COLLEGE               Uttarakhand     UDHAM SINGH NAGAR KASHIPUR"
"1-18287874               DEPT. OF C.S.I.T., MJP ROHILKHAND UNIVERSITY                          Uttar Pradesh   BAREILLY           BAREILLY"
"1-452137561              UTTARAKHAND INSTITUTE OF TECHNICAL AND PROFESSIONAL EDUCATION         Uttarakhand     NAINITAL           RAMNAGAR"
"1-8172099                DEVENDER SINGH INSTITUTE OF TECHNOLOGY AND MANAGEMENT                 Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-5325021                HMFA MEMORIAL INSTITUTE OF ENGG & TECH.                               Uttar Pradesh   ALLAHABAD          ALLAHABAD"
"1-459374291              IBNE SEENA PHARMACY COLLEGE                                           Uttar Pradesh   HARDOI             SHAHABAD,"
"1-437195903              SETH JAIPRAKASH MUKANDLAL POLYTECHNIC                                 Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-5385273                IIMT HOTEL MANAGEMENT COLLEGE                                         Uttar Pradesh   MEERUT             MEERUT"
"1-19610007               KUNWAR HARIBANSH SINGH COLLEGE OF PHARMACY                            Uttar Pradesh   JAUNPUR            JAUNPUR"
"1-496299171              D.E.I. TECHNICAL COLLEGE                                              Uttar Pradesh   AGRA               AGRA"
"1-466915401              SHAKUMBARI COLLEGE                                                    Uttar Pradesh   SAHARANPUR         TEHSIL-BEHAT"
"1-464346021              GURUKUL KANGRI VISHWAVIDYALAYA                                        Uttarakhand     HARIDWAR           HARIDWAR"
"1-504796451              GOVERNMENT POLYTECHNIC HARIDWAR SIDCUL                                Uttarakhand     HARIDWAR           HARIDWAR"
"1-7435011                IIMT COLLEGE OF ENGINEERING                                           Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-485186941              B.N.DEGREE COLLEGE                                                    Uttar Pradesh   HARDOI             SHAHABAD"
"1-5952491                KHANDELWAL COLLEGE OF ARCHITECTURE AND DESIGN                         Uttar Pradesh   BAREILLY           BAREILLY"
"1-458433155              JASWANT SINGH BHADAURIA INSTITUTE OF TECHNOLOGY                       Uttar Pradesh   MATHURA            KOSI KHURD"
"1-480272543              GOVT. GIRLS POLYTECHNIC                                               Uttar Pradesh   LUCKNOW            FAIZABAD"
"1-8461364                J B INSTITUTE OF TECHNOLOGY                                           Uttarakhand     DEHRADUN           DEHRADUN"
"1-14177311               SBRR MAHAJANA FIRST GRADE COLLEGE, PG WING                            Karnataka       MYSORE             MYSORE"
"1-514006201              GOVERNMENT POLYTECHNIC LAKHIMPUR-KHERI                                Uttar Pradesh   LAKHIMPUR-KHERI    LAKHIMPUR-KHERI"
"1-728998271              ACN COLLEGE OF POLYTECHNIC                                            Uttar Pradesh   ALIGARH            ALIGARH"
"1-427000873              MIET KUMAON                                                           Uttarakhand     NAINITAL           HALDWANI"
"1-25652301               BANSHI COLLEGE OF MANAGEMENT AND TECHNOLOGY                           Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-8430846                NARAINA VIDYA PEETH GROUP OF INSTITUTIONS                             Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-22359484               DEPARTMENT OF PHARMACY, IET, MJP ROHILKHAND UNIVERSITY                Uttar Pradesh   BAREILLY           BAREILLY"
"1-513224101              SHRI RAMDEVI RAMDAYAL TRIPATHI MAHILAPOLYTECHNIC SAKET NAGAR KANPUR   Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-5716001                SAROJ INSTITUTE OF TECHNOLOGY & MANAGEMENT                            Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-21349201               MODINAGAR INSTITUTE OF TECHNOLOGY                                     Uttar Pradesh   GHAZIABAD          MODINAGAR"
"1-512619981              ANAND COLLEGE OF ARCHITECTURE                                         Uttar Pradesh   AGRA               AGRA"
"1-5770711                THE OXFORD COLLEGE OF ENGINEERING                                     Karnataka       BANGALORE URBAN    BANGALORE"
"1-5615403                MIT COLLEGE OF MANAGEMENT                                             Uttar Pradesh   MORADABAD          MORADABAD"
"                                           List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                  STATE           DISTRICT           CITY"
"1-12176161               VIVEKANANDA INSTITUTE OF TECHNOLOGY                             Karnataka       BANGALORE RURAL    BANGALORE"
"1-6093391                AL AZHAR COLLEGE OF ENGINEERING AND TECHNOLOGY                  Kerala          IDUKKI             THODUPUZHA"
"1-7689391                SNGIST GROUP OF INSTITUTIONS                                    Kerala          ERNAKULAM          NORTH PARAVUR"
"1-5445871                R.T.E.SOCIETY'S, RURAL ENGINEERING COLLEGE, HULKOTI             Karnataka       GADAG              HULKOTI"
"1-7189633                N.G.S.M.INSTITUTE OF PHARMACEUTICAL SCIENCES                    Karnataka       D KANNADA(DK)      MANGALORE"
"1-10580691               DAYANANDA SAGAR COLLEGE OF ARTS,SCIENCE & COMMERCE              Karnataka       BANGALORE URBAN    BANGALORE"
"1-6884317                NATIONAL COLLEGE OF PHARMACY, SHIMOGA                           Karnataka       SHIMOGA            SHIMOGA"
"1-477609065              GOVERNMENT POLYTECHNIC FOR WOMEN                                Karnataka       BANGALORE URBAN    BANGALORE"
"1-14290541               VEDANT INSTITUTE OF MANAGEMENT AND TECHNOLOGY                   Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-4543811                SRI GOKULA COLLEGE OF ARTS, SCIENCE AND MANAGEMENT STUDIES      Karnataka       KOLAR              KOLAR"
"1-5386841                VIMAL JYOTHI INSTITUTE OF MANAGEMENT AND RESEARCH               Kerala          KANNUR             CHEMPERI"
"1-487322491              MAHARANA PRATAP POLYTECHNIC GORAKHPUR                           Uttar Pradesh   GORAKHPUR          GORAKHPUR"
"1-510969201              SWAMI VIVEKANAND POLYTECHNIC                                    Uttar Pradesh   SAHARANPUR         MANDUWALA"
"1-2181288034             BIRLA INSTITUTE OF TECHNOLOGY, PATNA                            Bihar           PATNA              PATNA"
"1-450600351              BABA BINDESHWARI SINGH INSTITUTE OF TECHNOLOGY AND MANAGEMENT   Uttar Pradesh   VARANASI           VARANASI"
"1-7853771                KASHI INSTITUTE OF TECHNOLOGY                                   Uttar Pradesh   VARANASI           VARANASI"
"1-2188912481             PRABHU KAILASH POLYTECHNIC                                      Bihar           AURANGABAD         AURANGABAD"
"1-8213393                GYANI INDER SINGH INSTITUTE OF PROFESSIONAL STUDIES             Uttarakhand     DEHRADUN           DEHRADUN"
"1-16298721               PRIYADARSHINI COLLEGE OF COMPUTER SCIENCES                      Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-5284031                UNITED INSTITUTE OF TECHNOLOGY                                  Uttar Pradesh   ALLAHABAD          ALLAHABAD"
"1-812243731              SGIT IMT COLLEGE OF ARCHITECTURE                                Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-10088401               AMARDEEP COLLEGE OF ENGINEERING & MANAGEMENT                    Uttar Pradesh   FIROZABAD          FIROZABAD"
"1-462557131              GOVERNEMT POLYTECHNIC, FATEHPUR                                 Uttar Pradesh   FATEHPUR           FATEHPUR"
"1-463870661              DOON PARAMEDICAL COLLEGE & HOSPITAL                             Uttar Pradesh   SAHARANPUR         GANESHPUR"
"1-2522399111             KASTOORI INSTITUTE OF TECHNOLOGY                                Uttar Pradesh   MEERUT             BADARUDDIN"
"1-478259131              JINDAL INSTITUTE OF POLYTECHNIC                                 Uttar Pradesh   MEERUT             MOHIUDDINPUR"
"1-750954671              BUDDHA INSTITUTE OF TECHNOLOGY                                  Bihar           GAYA               BODH-GAYA"
"1-6946521                P.K.INSTITUTE OF TECHNOLOGY & MANAGEMENT                        Uttar Pradesh   MATHURA            MATHURA"
"1-3959581                UNITED INSTITUTE OF PHARMACY, UCER                              Uttar Pradesh   ALLAHABAD          ALLAHABAD"
"1-33524871               NALANDA COLLEGE OF ENGINEERING, CHANDI                          Bihar           NALANDA            BIHARSHARIF/CHANDI"
"1-5143736                RAKSHPAL BAHADUR MANAGEMENT INSTITUTE, BAREILLY (MCA)           Uttar Pradesh   BAREILLY           BAREILLY"
"1-6281266                UNITED COLLEGE OF ENGINEERING & RESEARCH                        Uttar Pradesh   ALLAHABAD          ALLAHABAD"
"1-728926571              VIKAS INSTITUTE OF ENGINEERING AND TECHNOLOGY                   Uttar Pradesh   GORAKHPUR          GORAKHPUR"
"1-10061731               GOEL INSTITUTE OF HIGHER STUDIES                                Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-1465664891             BHASHKAR POLYTECHNIC COLLEGE                                    Uttar Pradesh   MUZAFFARNAGAR      KAIRANA"
"1-5729824                GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT                       Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-19867941               NARVADESHWAR MANAGEMENT COLLEGE                                 Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-10521211               NIMBUS ACADEMY OF MANAGEMENT                                    Uttarakhand     DEHRADUN           DEHRADUN"
"1-6564101                SHRIRAM INSTITUTE OF TECHNOLOGY , MEERUT                        Uttar Pradesh   MEERUT             MEERUT"
"1-6848541                BANSAL INSTITUTE OF ENGINEERING AND TECNOLOGY                   Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-6395631                KIPM-COLLEGE OF MANAGEMENT                                      Uttar Pradesh   GORAKHPUR          GORAKHPUR"
"1-10259071               BIRLA INSTITUTE OF APPLIED SCIENCES                             Uttarakhand     NAINITAL           BHIMTAL"
"1-426016781              AZMET INSTITUTE OF TECHNOLOGY                                   Bihar           KISHANGANJ         KISHANGANJ"
"1-5470601                SHRI GOPICHAND COLLEGE OF PHARMACY                              Uttar Pradesh   BAGPAT             BAGHPAT"
"1-2476437711             SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY                    Bihar           PATNA              PATNA"
"                                           List of AICTE approved institutions (A.Y. 2016-17) as on 30th April 2016"
"Institute Permanent ID   Institute Name                                                       STATE           DISTRICT           CITY"
"1-465814851              SANJIVANI INSTITUTE OF TECHNOLOGY AND MANAGEMENT                     Uttar Pradesh   BAHRAICH           KIRTANPUR"
"1-473872751              INTERNATIONAL SCHOOL OF MANAGEMENT PATNA                             Bihar           PATNA              PATNA"
"1-8147561                JP INSTITUTE OF MANAGEMENT                                           Uttar Pradesh   MEERUT             MEERUT"
"1-34636554               DAYANAND DINANATH COLLEGE,INSTITUTE OF PHARMACY                      Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-12356524               K.N.G.D. MODI ENGINEERING COLLEGE                                    Uttar Pradesh   GHAZIABAD          MODINAGAR"
"1-798862511              TRIRUPATI COLLEGE OF ENGINEERING                                     Uttar Pradesh   LUCKNOW            MOHANLALGANJ"
"1-4824676                JP INSTITUTE OF ENGINEERING & TECHNILOGY                             Uttar Pradesh   MEERUT             MEERUT"
"1-458577671              BHAVDIYA INSTITUTE OF BUSINESS MANAGEMENT                            Uttar Pradesh   FAIZABAD           SEBAR"
"1-518648463              GOVT POLYTECHNIC KANDA                                               Uttarakhand     BAGESHWAR          KANDA"
"1-21260671               SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT, DEPARTMENT OF PHARMACY   Uttar Pradesh   BARABANKI          BARABANKI"
"1-444928221              COLLEGE OF ADVANCED TECHNOLOGY                                       Uttarakhand     HARIDWAR           ROORKEE"
"1-15554015               SHIVA INSTITUTE OF MANAGEMENT STUDIES, GHAZIABAD                     Uttar Pradesh   GHAZIABAD          GHAZIABAD"
"1-4163761                INDUS BUSINESS ACADEMY                                               Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-4204281                JOHN COX MEMORIAL CSI INSTITUTE OF TECHNOLOGY                        Kerala          THIRUVANANTHAPURAM THIRUVANANTHAPURAM"
"1-6536096                MVJ COLLEGE OF ENGINEERING                                           Karnataka       BANGALORE URBAN    BANGALORE"
"1-699990243              MOTHER THERESA POLYTECHNIC                                           Karnataka       KOLAR              KOLAR CITY"
"1-454262761              ALLAMA IQBAL INSTITUTE OF MANAGEMENT                                 Kerala          THIRUVANANTHAPURAM THIRUVANANTHAPURAM"
"1-448505501              B E T POLYTECHNIC                                                    Karnataka       MANDYA             BHARATHINAGARA [K M DODDI]"
"1-464011391              COLLEGE OF PHARMACEUTICAL SCIENCES                                   Kerala          KOTTAYAM           GANDHINAGAR"
"1-5686541                UKF COLLEGE OF ENGINEERING & TECHNOLOGY                              Kerala          KOLLAM             PARIPPALLY"
"1-820961291              SRI VINAYAK POLYTECHNIC                                              Karnataka       KOLAR              KGF"
"1-2755053                INSTITUTE FOR TECHNOLOGY AND MANAGEMENT                              Karnataka       BANGALORE URBAN    BANGALORE"
"1-10308701               DC SCHOOL OF MANAGEMENT AND TECHNOLOGY                               Kerala          IDUKKI             IDUKKI"
"1-435754281              KARAVALI POLYTECHNIC                                                 Karnataka       DAKSHINA KANNADA   MANGALORE"
"1-4215821                ADICHUNCHANAGIRI INSTITUTE OF TECHNOLOGY                             Karnataka       CHIKMAGALUR        CHIKMAGALUR"
"1-493006031              GOVERNMENT POLYTECHNIC                                               Bihar           DARBHANGA          DARBHANGA"
"1-20236611               THE OXFORD COLLEGE OF HOTEL MANAGEMENT                               Karnataka       BANGALORE URBAN    BANGALORE"
"1-720645801              SHRI JEET RAM SMARAK INSTITUTE OF POLYTECHNIC                        Uttar Pradesh   BAREILLY           RITHORA"
"1-510146471              LAKSHYA TECHNICAL CAMPUS                                             Uttar Pradesh   SHAHJAHANPUR       ADAMPUR"
"1-478241871              DSR COLLEGE OF POLYTECHNIC                                           Uttar Pradesh   BAREILLY           BAHERI"
"1-482451854              DAYALBAGH EDUCATIONAL INSTITUTE                                      Uttar Pradesh   AGRA               AGRA"
"1-416755581              K.K. COLLEGE OF ENGINEERING & MANAGEMENT                             Bihar           NALANDA            BIHARSHARIF"
"1-17481561               VIDYA BHAVAN COLLEGE FOR ENGINEERING TECHNOLOGY                      Uttar Pradesh   KANPUR NAGAR       KANPUR"
"1-12072791               COLLEGE OF COMMERCE, PATNA                                           Bihar           PATNA              PATNA"
"1-536946181              P.M.V. POLYTECHNIC, MATHURA                                          Uttar Pradesh   MATHURA            MATHURA"
"1-20046291               INSTITUTE OF MANAGEMENT STUDIES SAHARANPUR                           Uttar Pradesh   SAHARANPUR         SAHARANPUR"
"1-2193161                DRONACHARYA GROUP OF INSTITUTIONS                                    Uttar Pradesh   GAUTAM BUDDHA NAGARGREATER NOIDA"
"1-15140441               TRIVEDI INSTITUTE OF MANAGEMENT AND TECHNOLOGY                       Uttar Pradesh   FATEHPUR           FATEHPUR"
"1-8228763                MAYA INSTITUTE OF TECHNOLOGY & MANAGEMENT                            Uttarakhand     DEHRADUN           DEHRADUN"
"1-2824917                AKS MANAGEMENT COLLEGE                                               Uttar Pradesh   LUCKNOW            LUCKNOW"
"1-511699541              GOVERMENT POLYTECHNIC AAMWALA                                        Uttarakhand     DEHRADUN           DEHRADUN"
"1-7465441                NIKHIL INSTITUTE OF ENGINEERING & MANAGEMENT                         Uttar Pradesh   MATHURA            MATHURA"
"1-460717271              DOON COLLEGE OF EDUCATION                                            Uttar Pradesh   SAHARANPUR         SUNDERPUR"
"1-4593797                RAJIV ACADEMY FOR PHARMACY                                           Uttar Pradesh   MATHURA            MATHURA"
